,wurdearje,wurdearring,tankber,tankberens,tankberens,tanke,tankje,tankber,tankberens,skuldbetinking,ferplichting,ferplichte,ferbûnens,ferplichting,skuldich,skulden hawwe,skuldich wêze,ekskúsjaand,ekskúzen,ekskús,fertriet,sorry,ekskús my,my ekskusearje,ferjou my
ferplichting,0.9924378380016011,0.9937317563520841,0.9934252568833496,0.9938191453703707,0.9938191453703707,0.9927782015880378,0.989170606648341,0.9934252568833496,0.9938191453703704,0.9926035639929837,0.9999999999999996,0.9937540536188749,0.9924838827461031,0.9999999999999996,0.9938803856525895,0.984267236051394,0.9939689587733849,0.9907974487497746,0.9929204003056542,0.9918601348016036,0.993009311507618,0.9845539925834514,0.9901367714314926,0.9914840179366979,0.9913140090451857
ferplichte,0.9911127133746817,0.992911309602994,0.9933201941632588,0.992489304010454,0.992489304010454,0.9930966130601465,0.9879565358667468,0.9933201941632588,0.9924893040104552,0.9884506712413517,0.9937540536188749,1.0000000000000002,0.9905203906894736,0.9937540536188749,0.9913911572668872,0.9854073625513728,0.9921321773709,0.9900616105450827,0.9916496409479948,0.9921527093459585,0.9926931515603201,0.9887894578525829,0.991958142089938,0.9897960503674307,0.9913795064808234
ferbûnens,0.9907331982029142,0.9917151246772528,0.9922353934157373,0.9928039135775795,0.9928039135775795,0.991603778993705,0.9877152530495906,0.9922353934157373,0.9928039135775795,0.9901439280653033,0.9924838827461031,0.9905203906894736,0.9999999999999994,0.9924838827461031,0.9919547105879063,0.9835015846089786,0.9918249492994041,0.9906330926598125,0.9925406545261973,0.9909693288246185,0.9913662643252641,0.98495777099076,0.9904706380969243,0.9897534583878066,0.9935211103298432
ferplichting,0.9924378380016011,0.9937317563520841,0.9934252568833496,0.9938191453703707,0.9938191453703707,0.9927782015880378,0.989170606648341,0.9934252568833496,0.9938191453703704,0.9926035639929837,0.9999999999999996,0.9937540536188749,0.9924838827461031,0.9999999999999996,0.9938803856525895,0.984267236051394,0.9939689587733849,0.9907974487497746,0.9929204003056542,0.9918601348016036,0.993009311507618,0.9845539925834514,0.9901367714314926,0.9914840179366979,0.9913140090451857
skuldich,0.9947504004114545,0.9966041206785148,0.9945155946833305,0.9951284581132825,0.9951284581132825,0.9948872525491229,0.9911084787056001,0.9945155946833305,0.9951284581132831,0.9932004914082226,0.9938803856525895,0.9913911572668872,0.9919547105879063,0.9938803856525895,1.0,0.981737078361709,0.9977926651713647,0.9917054040233393,0.9936623770626363,0.9938737808703979,0.9956514780886148,0.9856946841151524,0.9912222419319472,0.9924512119839791,0.9934298201845267
skulden hawwe,0.9808165601312915,0.9813628486271789,0.9831872429739181,0.9828635756274922,0.9828635756274922,0.980968272659423,0.9776883541392831,0.9831872429739181,0.9828635756274918,0.9802827668949488,0.984267236051394,0.9854073625513728,0.9835015846089786,0.984267236051394,0.981737078361709,1.0,0.9829638255714863,0.9807066881124271,0.9831091047746255,0.9817717906020313,0.9819292641554157,0.9794111941372247,0.9828508786599838,0.9804542223674961,0.9808060890686894
skuldich wêze,0.9947460234150665,0.9961035995495696,0.9943335632068712,0.9947526767523637,0.9947526767523637,0.9947484719407856,0.9910271366675208,0.9943335632068712,0.9947526767523637,0.9929484204196634,0.9939689587733849,0.9921321773709,0.9918249492994041,0.9939689587733849,0.9977926651713647,0.9829638255714863,0.9999999999999998,0.9910246415808659,0.9935263464835095,0.9935075014238954,0.9945960294427417,0.9852413432741629,0.9912372706911613,0.9927068711088399,0.9934088973670493
ekskúsjaand,0.9923584963172859,0.9930029607912514,0.9936531720489898,0.9940850948137369,0.9940850948137369,0.9939777172267292,0.9897560925972981,0.9936531720489898,0.9940850948137369,0.9914347292029245,0.9907974487497746,0.9900616105450827,0.9906330926598125,0.9907974487497746,0.9917054040233393,0.9807066881124271,0.9910246415808659,1.0,0.993820332948653,0.9941883935399362,0.9909615017551843,0.9888622075308889,0.9931837037224021,0.9941571836413384,0.9933093640811411
ekskúzen,0.9943092865482872,0.9945354305295078,0.9941060778599374,0.9956618408315049,0.9956618408315049,0.9940827617537572,0.9915271028856613,0.9941060778599374,0.9956618408315049,0.9926781946277934,0.9929204003056542,0.9916496409479948,0.9925406545261973,0.9929204003056542,0.9936623770626363,0.9831091047746255,0.9935263464835095,0.993820332948653,0.9999999999999993,0.9945400830560833,0.9927786071567519,0.9878954039403887,0.9937064648201737,0.9935398085253022,0.9932267818030082
ekskús,0.9935288962443053,0.9948492301810202,0.9943840025126193,0.9946040692504727,0.9946040692504727,0.9944134538214776,0.9899227131933496,0.9943840025126193,0.9946040692504727,0.9906093903708777,0.9918601348016036,0.9921527093459585,0.9909693288246185,0.9918601348016036,0.9938737808703979,0.9817717906020313,0.9935075014238954,0.9941883935399362,0.9945400830560833,0.9999999999999993,0.9940463538959119,0.9903460318624836,0.9963344911422537,0.9937469635263155,0.9939376012271885
fertriet,0.9934710076411479,0.9958962300800006,0.9938572204039814,0.9936517684327278,0.9936517684327278,0.9947473282053401,0.9894630485691879,0.9938572204039814,0.9936517684327278,0.9897931547357188,0.993009311507618,0.9926931515603201,0.9913662643252641,0.993009311507618,0.9956514780886148,0.9819292641554157,0.9945960294427417,0.9909615017551843,0.9927786071567519,0.9940463538959119,0.9999999999999998,0.9864952931666119,0.9916509789446456,0.9907057210298668,0.9928359110555335
sorry,0.9856977229687862,0.9874560568927468,0.9899087990515559,0.9884345531069533,0.9884345531069533,0.9885468324908309,0.9828792126171887,0.9899087990515559,0.9884345531069533,0.9830998964959297,0.9845539925834514,0.9887894578525829,0.98495777099076,0.9845539925834514,0.9856946841151524,0.9794111941372247,0.9852413432741629,0.9888622075308889,0.9878954039403887,0.9903460318624836,0.9864952931666119,0.9999999999999996,0.9925615846522297,0.9886219613050222,0.9891376086376312
ekskús my,0.9920709874815392,0.992406634607628,0.9943814945771051,0.9940012839173314,0.9940012839173314,0.9928114641894202,0.9880084447951577,0.9943814945771051,0.9940012839173314,0.9888671368469337,0.9901367714314926,0.991958142089938,0.9904706380969243,0.9901367714314926,0.9912222419319472,0.9828508786599838,0.9912372706911613,0.9931837037224021,0.9937064648201737,0.9963344911422537,0.9916509789446456,0.9925615846522297,0.9999999999999994,0.9944422962772359,0.995651858276272
my ekskusearje,0.9945305414054961,0.9931374664065103,0.9936667709406204,0.994379892785225,0.994379892785225,0.9936756491017769,0.9924093344445906,0.9936667709406204,0.994379892785225,0.9930038921482477,0.9914840179366979,0.9897960503674307,0.9897534583878066,0.9914840179366979,0.9924512119839791,0.9804542223674961,0.9927068711088399,0.9941571836413384,0.9935398085253022,0.9937469635263155,0.9907057210298668,0.9886219613050222,0.9944422962772359,1.0,0.9951028925516007
ferjou my,0.9937718945154309,0.9941266599547383,0.9949860763021992,0.9945282886167612,0.9945282886167612,0.9944521659048488,0.9899377286473118,0.9949860763021992,0.9945282886167612,0.9915146864656684,0.9913140090451857,0.9913795064808234,0.9935211103298432,0.9913140090451857,0.9934298201845267,0.9808060890686894,0.9934088973670493,0.9933093640811411,0.9932267818030082,0.9939376012271885,0.9928359110555335,0.9891376086376312,0.995651858276272,0.9951028925516007,0.9999999999999997
