,kusikuy,kusikuykuna,añaychayniyuq,añaykuy,añay,añaychay,añaykuy,sumaq ñawpaq,llank'anapaq,saqikunanchik,saqikurqa,saqiykusqa,saqikunanchik,mancharina,saqina,mancharisqa,saqinakuy,pampachakuq,pampachakuykuna,pampachani,pampachakuy,dispensawanay,pampachaway,llakita,pampachaway
saqikurqa,0.9916274162063793,0.9916269109499969,0.9944351293322636,0.9929565664431186,0.9915997599767437,0.9934912942265234,0.9929565664431186,0.994537313603732,0.9928004165805513,0.9963363691481294,0.9999999999999998,0.9977626458184193,0.9963363691481294,0.9904951720941619,0.9965595515493336,0.9973394185212888,0.9956232520747256,0.9964424712197878,0.9920157299287887,0.9896726748175572,0.9924690686537407,0.9898716295914289,0.9912791681001896,0.9916375607535042,0.9912791681001896
saqiykusqa,0.9908134675091584,0.9900290149162534,0.9939954238210734,0.9929043897206317,0.9908582390122687,0.9942605415184175,0.9929043897206317,0.9948738849692661,0.9926093361953526,0.9950587663936679,0.9977626458184193,0.9999999999999993,0.9950587663936679,0.9902818556733815,0.9966743190126229,0.9981994893373147,0.9951790789710604,0.9965276775367393,0.9915071336458945,0.9892081927752617,0.9929926673183619,0.9896940892079583,0.9914517836059873,0.9914524765110181,0.9914517836059873
saqikunanchik,0.9942977640908397,0.9950211420469018,0.9949991859234337,0.9958866228275056,0.9937242926108615,0.9953104753135383,0.9958866228275056,0.9951814405250846,0.9948037179292711,0.9999999999999996,0.9963363691481294,0.9950587663936679,0.9999999999999996,0.993014347190902,0.9969011701121389,0.9960539296762413,0.9970579716694422,0.9964407267933844,0.9950167451460783,0.9910514268803904,0.9939077623298934,0.9921849744765866,0.9937710251060073,0.9941776332550115,0.9937710251060073
mancharina,0.9932742130305606,0.9926070129847877,0.9903349846987215,0.9943364925836831,0.994682313081412,0.9943755031595546,0.9943364925836831,0.9909707672560342,0.9920611922961107,0.993014347190902,0.9904951720941619,0.9902818556733815,0.993014347190902,1.0000000000000007,0.9938778467271195,0.9931612555713469,0.9942769522754322,0.9936529714490584,0.9953972598600088,0.9961327511418813,0.994008370599501,0.9914946716686748,0.9954555532629978,0.9945743000422116,0.9954555532629978
saqina,0.993409292137374,0.9930660463248456,0.9934387888409668,0.9948973376002822,0.9939438824223565,0.9958816053136745,0.9948973376002822,0.9948064243327428,0.9935567369528544,0.9969011701121389,0.9965595515493336,0.9966743190126229,0.9969011701121389,0.9938778467271195,1.0,0.9968477596949051,0.9974638365122204,0.9967988139359626,0.9941926902002367,0.9920096882218444,0.994904048571484,0.9916258838658515,0.9941865027814101,0.9939077054983562,0.9941865027814101
mancharisqa,0.992979969305572,0.9925461914289564,0.9947828335907228,0.9948829939468858,0.9933943381980251,0.9952392833462783,0.9948829939468858,0.9948171353193248,0.9935123096567509,0.9960539296762413,0.9973394185212888,0.9981994893373147,0.9960539296762413,0.9931612555713469,0.9968477596949051,0.9999999999999993,0.9958547906911527,0.9970773042621627,0.9936610948179664,0.9918705278191584,0.993705096309921,0.9914171966291477,0.9935956468492068,0.9929690417375917,0.9935956468492068
saqinakuy,0.9954374704159851,0.9952156579649791,0.9948769928134903,0.9969586360890671,0.9962482726695365,0.9974365648339003,0.9969586360890671,0.995163119439499,0.9953274381529604,0.9970579716694422,0.9956232520747256,0.9951790789710604,0.9970579716694422,0.9942769522754322,0.9974638365122204,0.9958547906911527,0.9999999999999993,0.9969479237439086,0.9961027072308798,0.9927020469169997,0.996492753402758,0.9934229053586511,0.9951841093654653,0.995480965023545,0.9951841093654655
pampachakuq,0.9941304756519913,0.9936705779496935,0.9952320915454094,0.995787842811293,0.9941365731700336,0.9959777948687765,0.995787842811293,0.9972334095214085,0.995928997893215,0.9964407267933844,0.9964424712197878,0.9965276775367393,0.9964407267933844,0.9936529714490584,0.9967988139359626,0.9970773042621627,0.9969479237439086,0.9999999999999999,0.9957892796225172,0.9933608332871614,0.9964338793383909,0.9925593416407791,0.9945487547735135,0.9951299956365679,0.9945487547735132
pampachakuykuna,0.9942006253594191,0.9955284709079084,0.9925899437489358,0.9967558132058341,0.9960634950319734,0.996417446406789,0.9967558132058341,0.9943645516117838,0.9950462110879921,0.9950167451460783,0.9920157299287887,0.9915071336458945,0.9950167451460783,0.9953972598600088,0.9941926902002367,0.9936610948179664,0.9961027072308798,0.9957892796225172,1.0,0.9940827890999161,0.9972134024676591,0.9936946491413083,0.9968957237163477,0.9972719852722927,0.9968957237163473
pampachani,0.9928689557168738,0.991186534216197,0.9894995050088827,0.9926001146588515,0.9937063825249576,0.9927524026687747,0.9926001146588515,0.9909417334341125,0.9917674084484064,0.9910514268803904,0.9896726748175572,0.9892081927752617,0.9910514268803904,0.9961327511418813,0.9920096882218444,0.9918705278191584,0.9927020469169997,0.9933608332871614,0.9940827890999161,0.9999999999999999,0.9936157546863945,0.9903697711362226,0.9933260939761631,0.993592989978986,0.9933260939761643
pampachakuy,0.9942178678585072,0.9930613859868547,0.9914618711499195,0.9964500023094518,0.9956133669998598,0.9977634458343163,0.9964500023094518,0.9947973258233184,0.9945571629302891,0.9939077623298934,0.9924690686537407,0.9929926673183619,0.9939077623298934,0.994008370599501,0.994904048571484,0.993705096309921,0.996492753402758,0.9964338793383909,0.9972134024676591,0.9936157546863945,0.9999999999999996,0.9949669721416995,0.9963000912350211,0.9962280741474813,0.9963000912350211
dispensawanay,0.994830308024322,0.9922053324225651,0.9901056517887442,0.9957784728700788,0.9931154579551349,0.9942983922527747,0.9957784728700788,0.9920309882715077,0.9914291140415455,0.9921849744765866,0.9898716295914289,0.9896940892079583,0.9921849744765866,0.9914946716686748,0.9916258838658515,0.9914171966291477,0.9934229053586511,0.9925593416407791,0.9936946491413083,0.9903697711362226,0.9949669721416995,0.9999999999999999,0.9926625674851575,0.9924344680584466,0.9926625674851567
pampachaway,0.9931451241108447,0.9930618907830497,0.990893570069817,0.9954644791460726,0.9959352897937427,0.9961356011243551,0.9954644791460726,0.9918321301157629,0.9935703069416227,0.9937710251060073,0.9912791681001896,0.9914517836059873,0.9937710251060073,0.9954555532629978,0.9941865027814101,0.9935956468492068,0.9951841093654653,0.9945487547735135,0.9968957237163477,0.9933260939761631,0.9963000912350211,0.9926625674851575,0.9999999999999984,0.99504921972578,0.9999999999999984
llakita,0.9930572693839119,0.9939001783933823,0.9924693470323896,0.9955876290891866,0.994849212291472,0.9959337752283184,0.9955876290891866,0.9953161038127426,0.9961566695710814,0.9941776332550115,0.9916375607535042,0.9914524765110181,0.9941776332550115,0.9945743000422116,0.9939077054983562,0.9929690417375917,0.995480965023545,0.9951299956365679,0.9972719852722927,0.993592989978986,0.9962280741474813,0.9924344680584466,0.99504921972578,0.9999999999999997,0.9950492197257801
pampachaway,0.9931451241108447,0.9930618907830497,0.990893570069817,0.9954644791460726,0.9959352897937427,0.9961356011243551,0.9954644791460726,0.9918321301157629,0.9935703069416227,0.9937710251060073,0.9912791681001896,0.9914517836059873,0.9937710251060073,0.9954555532629978,0.9941865027814101,0.9935956468492068,0.9951841093654655,0.9945487547735132,0.9968957237163473,0.9933260939761643,0.9963000912350211,0.9926625674851567,0.9999999999999984,0.9950492197257801,0.9999999999999984
