,eskertu,eskertza,esker oneko,esker ona,esker ona,esker oneko,esker ona,eskerrik asko,zordun,betebehar,behartuta,betebehar,zorrak izatea,zorra izan,zorretan egon,barkabide,barkamenak,barkamena,barkatu,barkaidazu,barkatu,dolu,barkatu,barkamena eskatu
behartuta,0.9934509522201358,0.9938423594015061,0.9942348130559227,0.9953599779852793,0.9953599779852793,0.9942348130559227,0.9953599779852793,0.9931128665832272,0.9943245310328545,0.9952944440935175,0.9999999999999991,0.9952944440935175,0.9750306949061399,0.9917224332640671,0.9937392607931005,0.9922522852125427,0.9838209245689769,0.99340365017602,0.9907139716184699,0.9936948382454024,0.9907139716184699,0.994693224122485,0.9907139716184699,0.9925714425659589
betebehar,0.992793600993566,0.995698399788145,0.9957160779257377,0.995150626901676,0.995150626901676,0.9957160779257377,0.995150626901676,0.9928506162112046,0.9955260431263518,0.9999999999999997,0.9952944440935175,0.9999999999999997,0.9760050369971582,0.9895947407431271,0.9918650917589629,0.9949259277058685,0.988009885859081,0.99623628972765,0.9936278837755517,0.9946509827791434,0.9936278837755517,0.9930862397824365,0.9936278837755517,0.994212633365025
zorrak izatea,0.9717260608982081,0.9750925622766842,0.9779457987867188,0.9741129830666516,0.9741129830666516,0.9779457987867188,0.9741129830666516,0.9774765959819641,0.9752888754156684,0.9760050369971582,0.9750306949061399,0.9760050369971582,0.9999999999999997,0.9753717504792134,0.9763593894851799,0.9770042095037048,0.9759125183221911,0.9762279382919409,0.9763423612992672,0.9762888774954992,0.9763423612992672,0.9709541611784464,0.9763423612992672,0.9754135359407256
zorra izan,0.9906892744336201,0.9896859652738754,0.9926975270330272,0.9925878561873442,0.9925878561873442,0.9926975270330272,0.9925878561873442,0.9920487202187833,0.989341109824207,0.9895947407431271,0.9917224332640671,0.9895947407431271,0.9753717504792134,1.0,0.9956304428313172,0.986894294817989,0.9803302622280949,0.9879156325546542,0.9856387694542824,0.9889539780253455,0.9856387694542824,0.9885861691410802,0.9856387694542824,0.9890915865145722
zorretan egon,0.9916411056493066,0.9913667291994958,0.9942236866537749,0.9930340696798365,0.9930340696798365,0.9942236866537749,0.9930340696798365,0.9948707827398304,0.9917669045376138,0.9918650917589629,0.9937392607931005,0.9918650917589629,0.9763593894851799,0.9956304428313172,1.0000000000000004,0.9885103361618939,0.9804393832904283,0.9892773091975262,0.986746483328902,0.9910218276576,0.986746483328902,0.9899407019409667,0.986746483328902,0.9903055510069115
barkabide,0.9906428287836428,0.9943394085552278,0.9943181895117641,0.9936293510146337,0.9936293510146337,0.9943181895117641,0.9936293510146337,0.9908059122263055,0.9955721264453612,0.9949259277058685,0.9922522852125427,0.9949259277058685,0.9770042095037048,0.986894294817989,0.9885103361618939,1.0,0.9873839755925281,0.9959408097315087,0.994871550528311,0.9956699476678275,0.994871550528311,0.9907168894426986,0.994871550528311,0.991747148829435
barkamenak,0.9807759046846253,0.9848016245236003,0.9861763477435017,0.9826817140117708,0.9826817140117708,0.9861763477435017,0.9826817140117708,0.9828822548077398,0.9844581852613702,0.988009885859081,0.9838209245689769,0.988009885859081,0.9759125183221911,0.9803302622280949,0.9804393832904283,0.9873839755925281,0.9999999999999997,0.9896604168713232,0.9911509878895688,0.9862203113769812,0.9911509878895688,0.9809604054908521,0.9911509878895688,0.9897671937695165
barkamena,0.9918531364510923,0.9959527263702175,0.9947229377159132,0.9943484863565306,0.9943484863565306,0.9947229377159132,0.9943484863565306,0.9908371147830598,0.995237822248888,0.99623628972765,0.99340365017602,0.99623628972765,0.9762279382919409,0.9879156325546542,0.9892773091975262,0.9959408097315087,0.9896604168713232,1.0000000000000004,0.995344163927887,0.9960948331052318,0.995344163927887,0.9928624194648579,0.995344163927887,0.9944426885896783
barkatu,0.9871627532327844,0.9915400978926987,0.9921773382760372,0.9894649844605778,0.9894649844605778,0.9921773382760372,0.9894649844605778,0.9887328469341058,0.9928593066885175,0.9936278837755517,0.9907139716184699,0.9936278837755517,0.9763423612992672,0.9856387694542824,0.986746483328902,0.994871550528311,0.9911509878895688,0.995344163927887,1.0000000000000007,0.9937375679143582,1.0000000000000007,0.9891112186670297,1.0000000000000007,0.9942043818712897
barkaidazu,0.9921768472954817,0.9957071006296176,0.9947615250355794,0.9941764728106578,0.9941764728106578,0.9947615250355794,0.9941764728106578,0.9911793913354804,0.9956330444247378,0.9946509827791434,0.9936948382454024,0.9946509827791434,0.9762888774954992,0.9889539780253455,0.9910218276576,0.9956699476678275,0.9862203113769812,0.9960948331052318,0.9937375679143582,1.0000000000000007,0.9937375679143582,0.9927037685223781,0.9937375679143582,0.9922805470147542
barkatu,0.9871627532327844,0.9915400978926987,0.9921773382760372,0.9894649844605778,0.9894649844605778,0.9921773382760372,0.9894649844605778,0.9887328469341058,0.9928593066885175,0.9936278837755517,0.9907139716184699,0.9936278837755517,0.9763423612992672,0.9856387694542824,0.986746483328902,0.994871550528311,0.9911509878895688,0.995344163927887,1.0000000000000007,0.9937375679143582,1.0000000000000007,0.9891112186670297,1.0000000000000007,0.9942043818712897
dolu,0.9930434583699902,0.9928542891069738,0.991240248343103,0.9948901266525063,0.9948901266525063,0.991240248343103,0.9948901266525063,0.989369621898971,0.9926074124762665,0.9930862397824365,0.994693224122485,0.9930862397824365,0.9709541611784464,0.9885861691410802,0.9899407019409667,0.9907168894426986,0.9809604054908521,0.9928624194648579,0.9891112186670297,0.9927037685223781,0.9891112186670297,1.0000000000000002,0.9891112186670297,0.9901351619005062
barkatu,0.9871627532327844,0.9915400978926987,0.9921773382760372,0.9894649844605778,0.9894649844605778,0.9921773382760372,0.9894649844605778,0.9887328469341058,0.9928593066885175,0.9936278837755517,0.9907139716184699,0.9936278837755517,0.9763423612992672,0.9856387694542824,0.986746483328902,0.994871550528311,0.9911509878895688,0.995344163927887,1.0000000000000007,0.9937375679143582,1.0000000000000007,0.9891112186670297,1.0000000000000007,0.9942043818712897
barkamena eskatu,0.9892182187027022,0.9916335997194846,0.9934076697129588,0.9909528263242305,0.9909528263242305,0.9934076697129588,0.9909528263242305,0.9917346265847543,0.9910938067017334,0.994212633365025,0.9925714425659589,0.994212633365025,0.9754135359407256,0.9890915865145722,0.9903055510069115,0.991747148829435,0.9897671937695165,0.9944426885896783,0.9942043818712897,0.9922805470147542,0.9942043818712897,0.9901351619005062,0.9942043818712897,0.9999999999999999
