,ananela,rata,kananelo,tlotlo,lebogile,tebogo,tebogo,lebogile,tebogo,ke a leboga,boikarabelo,boikarabelo,tumelelano,kolota,boikarabelo bja dikoloto,ikwa o gapeletšegile,o gapeletšegile,o na le sekoloto,sekoloto sa go lefa,ditshwarelo,tshwarelo,ntshwarele,ntshwarele,maswabi,go kwa bohloko,kgopela tshwarelo,ke maswabi
boikarabelo,0.9926369226359577,0.9815042824109106,0.9931513695890409,0.9947516137774867,0.9930224349431002,0.9962767419720864,0.9962767419720864,0.9930224349431002,0.9962767419720859,0.9922843923442053,1.0000000000000004,1.0000000000000004,0.9952669312555319,0.9944720192227323,0.9944057998919278,0.994588476004089,0.9933408841237231,0.9942627616233695,0.9932252797848792,0.9953246468003729,0.9944751701197588,0.9941858132517257,0.9941858132517257,0.9910844587950236,0.9944888447829321,0.9939913152102643,0.9940925546489263
boikarabelo,0.9926369226359577,0.9815042824109106,0.9931513695890409,0.9947516137774867,0.9930224349431002,0.9962767419720864,0.9962767419720864,0.9930224349431002,0.9962767419720859,0.9922843923442053,1.0000000000000004,1.0000000000000004,0.9952669312555319,0.9944720192227323,0.9944057998919278,0.994588476004089,0.9933408841237231,0.9942627616233695,0.9932252797848792,0.9953246468003729,0.9944751701197588,0.9941858132517257,0.9941858132517257,0.9910844587950236,0.9944888447829321,0.9939913152102643,0.9940925546489263
tumelelano,0.9941539149751909,0.9846384848537898,0.9951399569721763,0.9958699655880472,0.9950100681878806,0.9976877708957426,0.9976877708957426,0.9950100681878806,0.9976877708957417,0.9937261003832851,0.9952669312555319,0.9952669312555319,1.0,0.9965551366705001,0.9932914390323039,0.995595561426773,0.994336591864449,0.9947894107903072,0.99428883909277,0.99648019476925,0.9959921417690938,0.994156888718567,0.994156888718567,0.9908332661769225,0.9938895834549615,0.994924292232456,0.9952195742266519
kolota,0.9964416998101888,0.9862986710229923,0.9937648828396827,0.9966910240004303,0.9936954783256141,0.9972940264862467,0.9972940264862467,0.9936954783256141,0.9972940264862468,0.9946120655179184,0.9944720192227323,0.9944720192227323,0.9965551366705001,0.9999999999999989,0.9942183675364468,0.9939009365212189,0.9930447080476186,0.9942879666102837,0.9932474900223118,0.9964391095895654,0.9968348700401715,0.9931649024433644,0.9931649024433644,0.990465094837986,0.9927507589120278,0.9958564313941457,0.9952236836674571
boikarabelo bja dikoloto,0.9913120843725521,0.9773383287306453,0.9918213873318903,0.993997638827598,0.9905327813867443,0.9948516010722042,0.9948516010722042,0.9905327813867443,0.9948516010722037,0.9920694382629539,0.9944057998919278,0.9944057998919278,0.9932914390323039,0.9942183675364468,1.0000000000000002,0.9922245148901112,0.9897130254358418,0.9950721538503277,0.9941993312357431,0.9961037379841525,0.9929623955104048,0.9898856254802282,0.9898856254802282,0.9919902612006758,0.9933000929677401,0.9961756114728972,0.99417242028304
ikwa o gapeletšegile,0.9927124028651778,0.983173679045139,0.9946323299217525,0.9925010529267878,0.9943094288595187,0.9954072699465137,0.9954072699465137,0.9943094288595187,0.9954072699465145,0.9945783918152391,0.994588476004089,0.994588476004089,0.995595561426773,0.9939009365212189,0.9922245148901112,0.9999999999999994,0.9973289068461269,0.9948263428176168,0.993597626096761,0.9950713347625659,0.9942267966458496,0.9944138286347216,0.9944138286347216,0.9909401372153681,0.9958065764471296,0.9938617047109287,0.9960180826163011
o gapeletšegile,0.9921472855946764,0.9834089653287486,0.9933367742213034,0.9907313737360092,0.9933133090737226,0.994137749569296,0.994137749569296,0.9933133090737226,0.994137749569296,0.9933463518250799,0.9933408841237231,0.9933408841237231,0.994336591864449,0.9930447080476186,0.9897130254358418,0.9973289068461269,1.0000000000000002,0.9933287492388171,0.9913600937867667,0.9930798191674913,0.9934289435390409,0.9930546889673937,0.9930546889673937,0.9870036238966451,0.9924099567019293,0.9917602374077534,0.9932797504567087
o na le sekoloto,0.9920358675100838,0.9805470909514492,0.9933337855522741,0.9936374144189971,0.9934617181207683,0.9960120150351326,0.9960120150351326,0.9934617181207683,0.9960120150351326,0.9941995337811959,0.9942627616233695,0.9942627616233695,0.9947894107903072,0.9942879666102837,0.9950721538503277,0.9948263428176168,0.9933287492388171,0.9999999999999997,0.9946374289731403,0.9959132389872593,0.9942654222559811,0.992463444983871,0.992463444983871,0.9901197738505265,0.9946404039459995,0.9948667445324776,0.9951711383604367
sekoloto sa go lefa,0.9922355811425131,0.9806668187897466,0.9935696879468782,0.9923513838152757,0.9924629224136927,0.9953395799301967,0.9953395799301967,0.9924629224136927,0.9953395799301967,0.9931012502742887,0.9932252797848792,0.9932252797848792,0.99428883909277,0.9932474900223118,0.9941993312357431,0.993597626096761,0.9913600937867667,0.9946374289731403,0.9999999999999998,0.9952590612319361,0.994150290569236,0.9912772812914192,0.9912772812914192,0.9925941034483002,0.9940231722465998,0.9956891281763056,0.9950104686862438
ditshwarelo,0.9951782880084411,0.9818888396692562,0.994662645418253,0.9953766809018875,0.9946754668532364,0.9974169070070452,0.9974169070070452,0.9946754668532364,0.9974169070070452,0.9944537983134556,0.9953246468003729,0.9953246468003729,0.99648019476925,0.9964391095895654,0.9961037379841525,0.9950713347625659,0.9930798191674913,0.9959132389872593,0.9952590612319361,0.9999999999999998,0.9972312123629371,0.9945646969027169,0.9945646969027169,0.9935239211389223,0.9947884941517307,0.9977441408943478,0.9966288563728288
tshwarelo,0.9958874271471636,0.9858202300775408,0.9948452898846722,0.9943769579089023,0.9940850335083155,0.9970814637111918,0.9970814637111918,0.9940850335083155,0.9970814637111918,0.9945320895724237,0.9944751701197588,0.9944751701197588,0.9959921417690938,0.9968348700401715,0.9929623955104048,0.9942267966458496,0.9934289435390409,0.9942654222559811,0.994150290569236,0.9972312123629371,0.9999999999999996,0.9943307256215301,0.9943307256215301,0.9916035830533713,0.993837430689565,0.9962468017341275,0.9958517142268436
ntshwarele,0.9934651017616271,0.9819164971199225,0.9920218567869283,0.9913147380463349,0.9933893304087654,0.9946092626187014,0.9946092626187014,0.9933893304087654,0.9946092626187014,0.9922561270747763,0.9941858132517257,0.9941858132517257,0.994156888718567,0.9931649024433644,0.9898856254802282,0.9944138286347216,0.9930546889673937,0.992463444983871,0.9912772812914192,0.9945646969027169,0.9943307256215301,0.9999999999999997,0.9999999999999997,0.9893516391256288,0.9931108178887503,0.992968056757304,0.9934944207950842
ntshwarele,0.9934651017616271,0.9819164971199225,0.9920218567869283,0.9913147380463349,0.9933893304087654,0.9946092626187014,0.9946092626187014,0.9933893304087654,0.9946092626187014,0.9922561270747763,0.9941858132517257,0.9941858132517257,0.994156888718567,0.9931649024433644,0.9898856254802282,0.9944138286347216,0.9930546889673937,0.992463444983871,0.9912772812914192,0.9945646969027169,0.9943307256215301,0.9999999999999997,0.9999999999999997,0.9893516391256288,0.9931108178887503,0.992968056757304,0.9934944207950842
maswabi,0.9907232857378059,0.97697664925302,0.9889814696453324,0.9895819765328531,0.9891789087907982,0.9916212088519969,0.9916212088519969,0.9891789087907982,0.9916212088519969,0.9892611652234491,0.9910844587950236,0.9910844587950236,0.9908332661769225,0.990465094837986,0.9919902612006758,0.9909401372153681,0.9870036238966451,0.9901197738505265,0.9925941034483002,0.9935239211389223,0.9916035830533713,0.9893516391256288,0.9893516391256288,0.9999999999999996,0.9935840005489671,0.9926972772204935,0.9954954113633078
go kwa bohloko,0.9921966816146137,0.9802305003033923,0.9941818101943711,0.9922717307832475,0.992620573495505,0.9950326264424258,0.9950326264424258,0.992620573495505,0.9950326264424258,0.9933319248091058,0.9944888447829321,0.9944888447829321,0.9938895834549615,0.9927507589120278,0.9933000929677401,0.9958065764471296,0.9924099567019293,0.9946404039459995,0.9940231722465998,0.9947884941517307,0.993837430689565,0.9931108178887503,0.9931108178887503,0.9935840005489671,0.9999999999999999,0.9946542368903974,0.9960458062262507
kgopela tshwarelo,0.9949761936462059,0.9815903630272679,0.9946938603967158,0.9948656507460834,0.9932370999070134,0.9963797210546697,0.9963797210546697,0.9932370999070134,0.9963797210546697,0.9945298660968332,0.9939913152102643,0.9939913152102643,0.994924292232456,0.9958564313941457,0.9961756114728972,0.9938617047109287,0.9917602374077534,0.9948667445324776,0.9956891281763056,0.9977441408943478,0.9962468017341275,0.992968056757304,0.992968056757304,0.9926972772204935,0.9946542368903974,0.999999999999999,0.9955738915636259
ke maswabi,0.9945758780690949,0.9822757932328237,0.9945094901354855,0.9935982654816002,0.9940512323131799,0.9960583433298141,0.9960583433298141,0.9940512323131799,0.9960583433298141,0.9958953526286859,0.9940925546489263,0.9940925546489263,0.9952195742266519,0.9952236836674571,0.99417242028304,0.9960180826163011,0.9932797504567087,0.9951711383604367,0.9950104686862438,0.9966288563728288,0.9958517142268436,0.9934944207950842,0.9934944207950842,0.9954954113633078,0.9960458062262507,0.9955738915636259,0.9999999999999993
