,manghargai,panghargaan,barasa tarimo kasih,raso tarimo kasih,tarimo kasih,tarimo kasih,barasa tarimo kasih,raso tarimo kasih,barhutang,kawajiban,dipakso,terpaksa,kawajiban,hutang,hutang nan ado,hutang-piutang,maafan,maaf,maaf,ampun jo,minta maaf,maaf jo,raso salo,salo hati
dipakso,0.9951639412880098,0.9943978273870239,0.9944445027542846,0.9954371646244959,0.9962032281303809,0.9962032281303809,0.9944445027542846,0.9954371646244959,0.9944479475214543,0.9945090418299664,0.9999999999999999,0.986442850826094,0.9945090418299664,0.9940679699791458,0.9900406482756414,0.9866180411721511,0.9938675458265412,0.993238442958096,0.993238442958096,0.99365557454976,0.9931540100289185,0.9910226078198515,0.9928956805524807,0.9946240063478662
terpaksa,0.9889408710849696,0.9876095876463056,0.9842255613556773,0.9861137881097448,0.9860970492849876,0.9860970492849876,0.9842255613556773,0.9861137881097448,0.9896455502765567,0.9877142485329996,0.986442850826094,1.0,0.9877142485329996,0.9854231254927086,0.9774912574902499,0.9756339728779558,0.9858936714453534,0.9836537797153968,0.9836537797153968,0.9891499797437845,0.9828609949968874,0.9856938555931855,0.9851318720350432,0.9885747312847674
kawajiban,0.994996590795882,0.9921074282860907,0.9945768233327681,0.9946501981785072,0.9951964198492366,0.9951964198492366,0.9945768233327681,0.9946501981785072,0.995164787620418,0.9999999999999996,0.9945090418299664,0.9877142485329996,0.9999999999999996,0.9923895836383229,0.9888522721121016,0.9832647719510478,0.9929468620402276,0.9928529205571296,0.9928529205571296,0.9932221817279664,0.9931485282402513,0.9899282374766747,0.9936362817884085,0.9942523944117039
hutang,0.9937776650171096,0.994845752761805,0.9937307792538281,0.9928826927417683,0.9937674003322537,0.9937674003322537,0.9937307792538281,0.9928826927417683,0.9943846922511409,0.9923895836383229,0.9940679699791458,0.9854231254927086,0.9923895836383229,1.0000000000000002,0.9925287202377617,0.9913717168867121,0.992152198815973,0.9920616798536298,0.9920616798536298,0.9917941901616074,0.9917103712085289,0.98876582619048,0.9922345071415045,0.9933575803018256
hutang nan ado,0.9890912525781497,0.9875703272721192,0.9903154423283875,0.9891849629768039,0.9899898560629657,0.9899898560629657,0.9903154423283875,0.9891849629768039,0.9888121609142466,0.9888522721121016,0.9900406482756414,0.9774912574902499,0.9888522721121016,0.9925287202377617,0.9999999999999994,0.9843333717492447,0.9883770668364499,0.9891958203255216,0.9891958203255216,0.9875918211801975,0.9876195424849341,0.9841239640888845,0.9879818385985591,0.9881553905923577
hutang-piutang,0.9865369163856645,0.9870361569689098,0.9855085518842656,0.9844400313325242,0.9852961402449986,0.9852961402449986,0.9855085518842656,0.9844400313325242,0.9870237965122834,0.9832647719510478,0.9866180411721511,0.9756339728779558,0.9832647719510478,0.9913717168867121,0.9843333717492447,0.9999999999999997,0.9810468305446661,0.9816490935918579,0.9816490935918579,0.9821455812688136,0.9818633563502004,0.9783175841734508,0.9825434272417932,0.9837588746630896
maafan,0.9926933058503548,0.9918686136290246,0.9928335201419334,0.9935912822215365,0.9941788526236371,0.9941788526236371,0.9928335201419334,0.9935912822215365,0.9923312812623031,0.9929468620402276,0.9938675458265412,0.9858936714453534,0.9929468620402276,0.992152198815973,0.9883770668364499,0.9810468305446661,0.9999999999999999,0.9971533220663168,0.9971533220663168,0.9933967263159384,0.9937881068959316,0.9934859949528356,0.9925858946833476,0.9946863750701749
maaf,0.9921603593519102,0.9909007997807014,0.9930851178248435,0.9931718552702088,0.9939432033154496,0.9939432033154496,0.9930851178248435,0.9931718552702088,0.9918749246905271,0.9928529205571296,0.993238442958096,0.9836537797153968,0.9928529205571296,0.9920616798536298,0.9891958203255216,0.9816490935918579,0.9971533220663168,0.999999999999999,0.999999999999999,0.9916174145957541,0.9937643772626884,0.9933550147982063,0.9923675994308954,0.9929915753537909
maaf,0.9921603593519102,0.9909007997807014,0.9930851178248435,0.9931718552702088,0.9939432033154496,0.9939432033154496,0.9930851178248435,0.9931718552702088,0.9918749246905271,0.9928529205571296,0.993238442958096,0.9836537797153968,0.9928529205571296,0.9920616798536298,0.9891958203255216,0.9816490935918579,0.9971533220663168,0.999999999999999,0.999999999999999,0.9916174145957541,0.9937643772626884,0.9933550147982063,0.9923675994308954,0.9929915753537909
ampun jo,0.9923346205493151,0.9922353549104576,0.9927603089808276,0.9939842269366619,0.9943965474125208,0.9943965474125208,0.9927603089808276,0.9939842269366619,0.9927231022108182,0.9932221817279664,0.99365557454976,0.9891499797437845,0.9932221817279664,0.9917941901616074,0.9875918211801975,0.9821455812688136,0.9933967263159384,0.9916174145957541,0.9916174145957541,0.9999999999999993,0.9913031904985036,0.9952373629673078,0.9928453549811777,0.9961638083284541
minta maaf,0.9919411306592352,0.9916078166785149,0.9945660268265766,0.9949760663766204,0.9952023919228422,0.9952023919228422,0.9945660268265766,0.9949760663766204,0.9917512741572919,0.9931485282402513,0.9931540100289185,0.9828609949968874,0.9931485282402513,0.9917103712085289,0.9876195424849341,0.9818633563502004,0.9937881068959316,0.9937643772626884,0.9937643772626884,0.9913031904985036,0.9999999999999991,0.990453891285501,0.9929269050322692,0.9936430301240222
maaf jo,0.9895559902766018,0.9896353974759411,0.9896430210466148,0.9915549432498604,0.9919118639865931,0.9919118639865931,0.9896430210466148,0.9915549432498604,0.9900243642307592,0.9899282374766747,0.9910226078198515,0.9856938555931855,0.9899282374766747,0.98876582619048,0.9841239640888845,0.9783175841734508,0.9934859949528356,0.9933550147982063,0.9933550147982063,0.9952373629673078,0.990453891285501,0.9999999999999996,0.9902422522785637,0.9943050881454275
raso salo,0.9936487554138083,0.9913646006371774,0.9953582942766296,0.9957742933866484,0.9950322836392963,0.9950322836392963,0.9953582942766296,0.9957742933866484,0.9940360743694856,0.9936362817884085,0.9928956805524807,0.9851318720350432,0.9936362817884085,0.9922345071415045,0.9879818385985591,0.9825434272417932,0.9925858946833476,0.9923675994308954,0.9923675994308954,0.9928453549811777,0.9929269050322692,0.9902422522785637,0.9999999999999999,0.9955769760786396
salo hati,0.9946066933019262,0.9936768708450808,0.9948524197251362,0.9958020854649389,0.9962133116486426,0.9962133116486426,0.9948524197251362,0.9958020854649389,0.9947179663123359,0.9942523944117039,0.9946240063478662,0.9885747312847674,0.9942523944117039,0.9933575803018256,0.9881553905923577,0.9837588746630896,0.9946863750701749,0.9929915753537909,0.9929915753537909,0.9961638083284541,0.9936430301240222,0.9943050881454275,0.9955769760786396,0.999999999999999
